real_household_income,housing_subsidy,total_household,CPI,per_capita_gdp,interest_rate,work_age_pop,housing_price_ind,UNRATE,new_house_supp
50300.0,29.876,116783,3.98912873927892,55278.0,6.425999999999999,196571900.0,165.71200000000002,5.8,10.5
50300.0,29.876,116783,2.94013128490127,54832.333333333336,6.4775,196691100.0,164.27599999999998,6.1,11.3
50300.0,29.876,116783,3.17438970761372,54386.666666666664,6.0375,196839800.0,161.911,6.1,10.9
50300.0,29.876,116783,2.20171024216991,53941.0,6.2,196974900.0,159.162,6.5,11.6
50300.0,29.876,116783,1.93625366578525,53701.0,6.0875,197132700.0,156.071,6.8,11.4
50300.0,29.876,116783,0.3634841508005421,53461.0,5.286,197420200.0,152.54399999999998,7.3,11.2
49780.0,32.883,117181,2.40364062502632,53221.0,5.047499999999999,197060700.0,149.362,7.8,12.2
49780.0,32.883,117181,2.14357605719473,53153.0,5.13,197286900.0,147.618,8.3,10.5
49780.0,32.883,117181,1.90828983085518,53085.0,5.0025,197529900.0,146.514,8.7,11.0
49780.0,32.883,117181,1.86117019943739,53017.0,4.8100000000000005,197854900.0,146.941,9.0,10.7
49780.0,32.883,117181,1.29376893720741,53038.333333333336,4.8575,197951800.0,148.168,9.4,9.3
49780.0,32.883,117181,0.75584590889346,53059.666666666664,5.42,197608700.0,149.795,9.5,8.5
49780.0,32.883,117181,0.125832513392354,53081.0,5.2219999999999995,197705800.0,150.747,9.5,7.9
49780.0,32.883,117181,1.6255061079099,53231.0,5.1925,198050300.0,150.668,9.6,7.5
49780.0,32.883,117181,0.914369783533586,53381.0,5.0575,198372700.0,149.627,9.8,7.8
49780.0,32.883,117181,1.1903654188135,53531.0,4.952,198663200.0,148.585,10.0,7.4
49780.0,32.883,117181,0.516016421313492,53581.666666666664,4.875,198711500.0,147.939,9.9,7.6
49780.0,32.883,117181,0.460810409841406,53632.333333333336,4.93,198768600.0,146.66299999999998,9.9,8.0
49280.0,32.669,117538,0.680110845940707,53683.0,5.03,198247600.0,145.003,9.8,8.1
49280.0,32.669,117538,-0.1066278542679489,53822.0,4.99,198432500.0,143.053,9.8,8.3
49280.0,32.669,117538,-0.286064246298046,53961.0,4.9675,198653600.0,143.596,9.9,7.1
49280.0,32.669,117538,0.4526162541784729,54100.0,5.098000000000001,198995600.0,145.404,9.9,6.2
49280.0,32.669,117538,0.27574788971958,54200.333333333336,4.8875,199087000.0,147.04,9.6,9.3
49280.0,32.669,117538,1.2647526767523898,54300.666666666664,4.7375,198935200.0,147.705,9.4,8.3
49280.0,32.669,117538,0.632305068442718,54401.0,4.564,199015000.0,147.565,9.4,8.9
49280.0,32.669,117538,0.4302059340372199,54457.0,4.4275,199221100.0,146.429,9.5,8.8
49280.0,32.669,117538,1.53627227687154,54513.0,4.346,199525500.0,144.61,9.5,7.6
49280.0,32.669,117538,1.1260905710720202,54569.0,4.225,199859900.0,143.13,9.4,8.2
49280.0,32.669,117538,1.31829898066591,54493.0,4.3,199983700.0,141.819,9.8,8.2
49280.0,32.669,117538,1.393380280754,54417.0,4.714,200022800.0,140.628,9.3,7.0
50050.0,34.23,119927,2.27322625990496,54341.0,4.755,199137100.0,139.036,9.1,7.3
50050.0,34.23,119927,2.8169688979258902,54430.666666666664,4.9525,199346000.0,137.731,9.0,8.1
50050.0,34.23,119927,1.74418998266395,54520.333333333336,4.836,199551500.0,137.785,9.0,7.2
